log_dir= logs/pretrain_duke2market-ECN
Namespace(arch='resnet50', batch_size=128, data_dir='/data/ustc/wbq/data', dist_metric='euclidean', dropout=0.5, epochs=200, epochs_decay=10, evaluate=False, features=4096, height=256, init_1='/data/ustc/wbq/ECN-contrast/logs/pretrain_duke2market-ECN/pre_checkpoint.pth.tar', inv_alpha=0.4, inv_beta=0.07, knn=18, lmd=0.3, logs_dir='logs/pretrain_duke2market-ECN', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='duke', target='market', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   702 |    16522
  target train    | 'Unknown' |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
=> Loaded checkpoint '/data/ustc/wbq/ECN-contrast/logs/pretrain_duke2market-ECN/pre_checkpoint.pth.tar'
Epoch: [0][78/129], Time 0.916 (0.975), Data 0.010 (0.021), Loss 8.154 (9.033), Prec 98.44% (98.78%), s_pid_loss: 0.3641, t_un_loss: 7.8548, loss_tri_soft: 0.5987, loss_tri: 0.0974
Epoch: [0][79/129], Time 0.920 (0.974), Data 0.009 (0.021), Loss 8.026 (9.020), Prec 97.66% (98.76%), s_pid_loss: 0.3750, t_un_loss: 7.7270, loss_tri_soft: 0.5987, loss_tri: 0.1004
Epoch: [0][80/129], Time 0.897 (0.973), Data 0.009 (0.021), Loss 7.632 (9.003), Prec 95.31% (98.72%), s_pid_loss: 0.4437, t_un_loss: 7.3351, loss_tri_soft: 0.5934, loss_tri: 0.0934
Epoch: [0][81/129], Time 0.893 (0.972), Data 0.010 (0.021), Loss 7.639 (8.986), Prec 98.44% (98.72%), s_pid_loss: 0.4003, t_un_loss: 7.3399, loss_tri_soft: 0.5984, loss_tri: 0.0981
Epoch: [0][82/129], Time 0.909 (0.972), Data 0.009 (0.021), Loss 8.267 (8.978), Prec 97.66% (98.70%), s_pid_loss: 0.3799, t_un_loss: 7.9667, loss_tri_soft: 0.6002, loss_tri: 0.0985
Epoch: [0][83/129], Time 0.901 (0.971), Data 0.010 (0.020), Loss 7.787 (8.963), Prec 99.22% (98.71%), s_pid_loss: 0.4459, t_un_loss: 7.4866, loss_tri_soft: 0.6002, loss_tri: 0.0998
Epoch: [0][84/129], Time 0.914 (0.970), Data 0.010 (0.020), Loss 7.754 (8.949), Prec 100.00% (98.73%), s_pid_loss: 0.3344, t_un_loss: 7.4546, loss_tri_soft: 0.5993, loss_tri: 0.1002
Epoch: [0][85/129], Time 0.912 (0.969), Data 0.009 (0.020), Loss 7.915 (8.937), Prec 96.88% (98.70%), s_pid_loss: 0.5004, t_un_loss: 7.6164, loss_tri_soft: 0.5974, loss_tri: 0.0983
Epoch: [0][86/129], Time 0.898 (0.969), Data 0.010 (0.020), Loss 8.025 (8.926), Prec 96.88% (98.68%), s_pid_loss: 0.4330, t_un_loss: 7.7253, loss_tri_soft: 0.5993, loss_tri: 0.0997
Epoch: [0][87/129], Time 0.913 (0.968), Data 0.010 (0.020), Loss 7.517 (8.910), Prec 95.31% (98.64%), s_pid_loss: 0.4852, t_un_loss: 7.2170, loss_tri_soft: 0.6006, loss_tri: 0.0986
Epoch: [0][88/129], Time 0.901 (0.967), Data 0.010 (0.020), Loss 7.510 (8.894), Prec 100.00% (98.66%), s_pid_loss: 0.4001, t_un_loss: 7.2121, loss_tri_soft: 0.5954, loss_tri: 0.0971
Epoch: [0][89/129], Time 0.909 (0.966), Data 0.009 (0.020), Loss 7.800 (8.882), Prec 100.00% (98.67%), s_pid_loss: 0.3581, t_un_loss: 7.5026, loss_tri_soft: 0.5953, loss_tri: 0.0958
Epoch: [0][90/129], Time 0.892 (0.966), Data 0.010 (0.020), Loss 7.642 (8.868), Prec 95.31% (98.64%), s_pid_loss: 0.5984, t_un_loss: 7.3411, loss_tri_soft: 0.6020, loss_tri: 0.1011
Epoch: [0][91/129], Time 0.919 (0.965), Data 0.010 (0.020), Loss 7.631 (8.854), Prec 93.75% (98.58%), s_pid_loss: 0.5746, t_un_loss: 7.3304, loss_tri_soft: 0.6019, loss_tri: 0.0969
Epoch: [0][92/129], Time 0.923 (0.965), Data 0.009 (0.019), Loss 7.633 (8.841), Prec 97.66% (98.57%), s_pid_loss: 0.5050, t_un_loss: 7.3327, loss_tri_soft: 0.6010, loss_tri: 0.0991
Epoch: [0][93/129], Time 0.904 (0.964), Data 0.009 (0.019), Loss 7.800 (8.830), Prec 96.09% (98.55%), s_pid_loss: 0.4389, t_un_loss: 7.4995, loss_tri_soft: 0.6010, loss_tri: 0.0999
Epoch: [0][94/129], Time 0.894 (0.963), Data 0.010 (0.019), Loss 7.588 (8.817), Prec 97.66% (98.54%), s_pid_loss: 0.5036, t_un_loss: 7.2868, loss_tri_soft: 0.6019, loss_tri: 0.1053
